📅 [2020.09.30] | SMA:  0.38 | BB:  0.44 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.18
📅 [2020.10.01] | SMA:  0.40 | BB:  0.41 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.19
📅 [2020.10.02] | SMA:  0.25 | BB: -0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.84
📅 [2020.10.05] | SMA:  0.14 | BB:  0.23 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.63
📅 [2020.10.06] | SMA:  0.03 | BB:  0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.87
📅 [2020.10.07] | SMA:  0.05 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.05
📅 [2020.10.08] | SMA:  0.11 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.01
📅 [2020.10.09] | SMA:  0.26 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.16
📅 [2020.10.12] | SMA:  0.43 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.33
📅 [2020.10.13] | SMA:  0.60 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.50
📅 [2020.10.14] | SMA:  0.62 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.52
📅 [2020.10.15] | SMA:  0.57 | BB:  0.58 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.15
📅 [2020.10.16] | SMA:  0.45 | BB:  0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.24
📅 [2020.10.19] | SMA:  0.28 | BB: -0.33 | RSI:  0.00 | VOL: -0.42 | TOTAL: -0.47
📅 [2020.10.20] | SMA:  0.17 | BB: -0.17 | RSI:  0.00 | VOL:  0.91 | TOTAL:  0.91
📅 [2020.10.21] | SMA:  0.01 | BB: -0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.69
☠️ [데드크로스] slope: -0.01703 | score: -0.72
📅 [2020.10.22] | SMA: -0.72 | BB: -0.34 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.06
📅 [2020.10.23] | SMA: -0.15 | BB: -0.12 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.73
📅 [2020.10.26] | SMA: -0.33 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.23
📅 [2020.10.27] | SMA: -0.56 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  0.54
📅 [2020.10.28] | SMA: -0.89 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  1.21
📅 [2020.10.29] | SMA: -1.20 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2020.10.30] | SMA: -1.54 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  0.56
📅 [2020.11.02] | SMA: -1.58 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  0.52
📅 [2020.11.03] | SMA: -1.55 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -2.45
📅 [2020.11.04] | SMA: -1.34 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL: -0.24
📅 [2020.11.05] | SMA: -1.16 | BB: -0.86 | RSI:  1.00 | VOL: -1.00 | TOTAL: -2.03
📅 [2020.11.06] | SMA: -0.97 | BB: -0.73 | RSI:  1.00 | VOL: -1.00 | TOTAL: -1.70
📅 [2020.11.09] | SMA: -0.81 | BB: -0.64 | RSI:  1.00 | VOL:  1.00 | TOTAL:  0.56
📅 [2020.11.10] | SMA: -0.71 | BB: -0.65 | RSI:  1.00 | VOL: -1.00 | TOTAL: -1.35
📅 [2020.11.11] | SMA: -0.53 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.84
📅 [2020.11.12] | SMA: -0.44 | BB: -0.65 | RSI:  1.00 | VOL: -1.00 | TOTAL: -1.09
📅 [2020.11.13] | SMA: -0.33 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.65
📅 [2020.11.16] | SMA: -0.23 | BB: -0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.32
📅 [2020.11.17] | SMA: -0.11 | BB: -0.03 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.13
📅 [2020.11.18] | SMA: -0.12 | BB: -0.62 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.74
📅 [2020.11.19] | SMA: -0.03 | BB: -0.39 | RSI:  0.00 | VOL: -0.37 | TOTAL: -0.79
📅 [2020.11.20] | SMA: -0.04 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.94
📅 [2020.11.23] | SMA: -0.13 | BB: -0.88 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.01
📅 [2020.11.24] | SMA: -0.09 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.81
📅 [2020.11.25] | SMA: -0.01 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.11
👑 [골든크로스] slope: 0.00654 | score: 0.58
📅 [2020.11.27] | SMA:  0.58 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.48
📅 [2020.11.30] | SMA:  0.27 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.17
📅 [2020.12.01] | SMA:  0.51 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.41
📅 [2020.12.02] | SMA:  0.61 | BB:  0.90 | RSI:  0.00 | VOL: -0.07 | TOTAL:  1.44
📅 [2020.12.03] | SMA:  0.74 | BB:  0.90 | RSI: -1.00 | VOL:  0.54 | TOTAL:  1.18
📅 [2020.12.04] | SMA:  0.89 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  1.79
📅 [2020.12.07] | SMA:  1.04 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.94
📅 [2020.12.08] | SMA:  1.01 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.91
📅 [2020.12.09] | SMA:  0.99 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  1.89
📅 [2020.12.10] | SMA:  0.95 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  1.85
