📅 [2022.10.31] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2022.11.01] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2022.11.02] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.11.03] | SMA:  0.00 | BB:  0.80 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.20
📅 [2022.11.04] | SMA:  0.00 | BB:  0.87 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.13
👑 [골든크로스] SLOPE: 0.03356 | Scaled: 13.42 | SMA Score: 1.60
📅 [2022.11.07] | SMA:  1.60 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  2.10
📅 [2022.11.08] | SMA:  0.00 | BB:  0.65 | RSI: -1.00 | VOL: -0.28 | TOTAL: -0.62
📅 [2022.11.09] | SMA:  0.00 | BB:  0.59 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.41
📅 [2022.11.10] | SMA:  0.00 | BB:  0.82 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.82
📅 [2022.11.11] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.14] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.15] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.16] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.17] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.18] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.21] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.11.22] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2022.11.23] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2022.11.25] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2022.11.28] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.11.29] | SMA:  0.00 | BB:  0.80 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.20
📅 [2022.11.30] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2022.12.01] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -0.87 | TOTAL: -0.97
📅 [2022.12.02] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2022.12.05] | SMA:  0.00 | BB: -0.18 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.82
📅 [2022.12.06] | SMA:  0.00 | BB: -0.42 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.58
📅 [2022.12.07] | SMA:  0.00 | BB: -0.57 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.57
📅 [2022.12.08] | SMA:  0.00 | BB: -0.16 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.16
📅 [2022.12.09] | SMA:  0.00 | BB: -0.35 | RSI:  0.00 | VOL:  0.65 | TOTAL:  0.30
📅 [2022.12.12] | SMA:  0.00 | BB:  0.28 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.28
