📅 [2020.11.12] | SMA:  0.00 | BB: -0.65 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.65
📅 [2020.11.13] | SMA:  0.00 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.31
📅 [2020.11.16] | SMA:  0.00 | BB: -0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.09
📅 [2020.11.17] | SMA:  0.00 | BB: -0.03 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.03
📅 [2020.11.18] | SMA:  0.00 | BB: -0.62 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.62
📅 [2020.11.19] | SMA:  0.00 | BB: -0.39 | RSI:  0.00 | VOL: -0.37 | TOTAL: -0.76
📅 [2020.11.20] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2020.11.23] | SMA:  0.00 | BB: -0.88 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.88
📅 [2020.11.24] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.11.25] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.11.27] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.11.30] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.12.01] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.12.02] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.07 | TOTAL:  0.83
📅 [2020.12.03] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  0.54 | TOTAL:  0.44
📅 [2020.12.04] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2020.12.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.12.08] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.12.09] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2020.12.10] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2020.12.11] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.14] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.15] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
👑 [골든크로스] SLOPE: 0.01588 | Scaled: 6.35 | SMA Score: 1.60
📅 [2020.12.16] | SMA:  1.60 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL:  3.10
📅 [2020.12.17] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.18] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.21] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.22] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL:  1.00 | TOTAL: -0.10
📅 [2020.12.23] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2020.12.24] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.12.28] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.12.29] | SMA:  0.00 | BB:  0.89 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.11
📅 [2020.12.30] | SMA:  0.00 | BB:  0.79 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.21
